sample_id,fault_type,fault_component,input_voltage,output_voltage,current,temperature_1,temperature_2,tp1_voltage,tp2_voltage,tp3_voltage,continuity,fault_label,component_label
healthy_0001,healthy,none,12.074507122951683,4.988938855906305,0.1929537707620138,33.04605971281605,30.531693250553328,11.976586304305082,11.45792128155074,5.061394778332232,1,2,5
healthy_0002,healthy,none,11.929578842109755,5.043404803486877,0.1707316461437507,29.068540492859487,31.48392454313207,11.80867197553422,11.127508216748698,4.955016997660723,1,2,5
healthy_0003,healthy,none,11.848075331949836,5.025139786607622,0.1618395184895757,27.175392597329417,33.93129753784311,11.977422369951348,11.306752820468793,4.886020145102924,1,2,5
healthy_0004,healthy,none,11.918342591321222,5.008873807176789,0.1569801284515539,30.751396036691343,29.79872262016239,11.970830625020673,11.239829338777062,5.148182254760715,1,2,5
healthy_0005,healthy,none,11.997975416289307,4.915383125683528,0.1964508982420637,27.558312700057957,31.41772719000951,11.804032987612022,11.167181395110156,5.01574889886953,1,2,5
healthy_0006,healthy,none,12.110769986999312,5.013709462495197,0.1776870343522351,29.397792608821423,28.042956019265144,11.92801557916053,11.253936122904022,5.084569778097514,1,2,5
healthy_0007,healthy,none,12.051542743435268,4.858956787570981,0.1864816793878959,29.229835439167367,29.64615599938808,12.061167628884087,11.403099952249596,5.074502409529296,1,2,5
healthy_0008,healthy,none,11.874117371516604,4.975263009931902,0.1866252686280712,31.95109025424472,30.04165152430942,11.98143410233362,11.189366502599398,4.904303470073546,1,2,5
healthy_0009,healthy,none,12.12187887335913,5.108499202285666,0.1785597975683933,32.00706579578405,31.723272050095268,11.935488024539488,11.336139560550842,5.123042925317278,1,2,5
healthy_0010,healthy,none,11.994626094133508,5.12517149246512,0.1276050979182051,31.643805008750448,31.17409413647634,11.970099264953411,11.30917607765355,4.840994486831929,1,2,5
healthy_0011,healthy,none,11.967049216824371,5.028569005720939,0.2095578808948303,28.963459563452705,29.383012794213624,11.949824295641546,11.391540211770208,5.026300088772775,1,2,5
healthy_0012,healthy,none,11.920535969434944,5.041061394649068,0.1819415509869608,31.937289981065778,29.595893812245293,11.967233785340223,11.260789184686786,4.882918804149431,1,2,5
