sample_id,fault_type,fault_component,input_voltage,output_voltage,current,temperature_1,temperature_2,tp1_voltage,tp2_voltage,tp3_voltage,continuity
healthy_0001,healthy,none,12.074507122951685,4.988938855906305,0.19295377076201384,33.04605971281605,30.531693250553328,11.976586304305082,11.457921281550739,5.061394778332232,1
healthy_0002,healthy,none,11.929578842109757,5.043404803486877,0.17073164614375075,29.068540492859487,31.48392454313207,11.80867197553422,11.127508216748698,4.955016997660723,1
healthy_0003,healthy,none,11.848075331949836,5.025139786607622,0.16183951848957578,27.175392597329417,33.93129753784311,11.977422369951347,11.306752820468793,4.886020145102924,1
healthy_0004,healthy,none,11.918342591321222,5.008873807176789,0.15698012845155393,30.751396036691343,29.79872262016239,11.970830625020673,11.239829338777062,5.148182254760715,1
healthy_0005,healthy,none,11.997975416289309,4.915383125683528,0.19645089824206377,27.558312700057954,31.41772719000951,11.804032987612022,11.167181395110157,5.01574889886953,1
healthy_0006,healthy,none,12.110769986999312,5.013709462495197,0.17768703435223518,29.397792608821423,28.042956019265144,11.92801557916053,11.253936122904022,5.084569778097514,1
healthy_0007,healthy,none,12.051542743435268,4.858956787570981,0.1864816793878959,29.229835439167367,29.646155999388082,12.061167628884087,11.403099952249596,5.074502409529296,1
healthy_0008,healthy,none,11.874117371516604,4.975263009931902,0.18662526862807127,31.95109025424472,30.04165152430942,11.981434102333619,11.189366502599398,4.904303470073546,1
healthy_0009,healthy,none,12.12187887335913,5.108499202285666,0.17855979756839332,32.00706579578405,31.723272050095268,11.935488024539488,11.336139560550842,5.123042925317278,1
healthy_0010,healthy,none,11.994626094133507,5.12517149246512,0.1276050979182051,31.643805008750448,31.17409413647634,11.970099264953413,11.30917607765355,4.840994486831929,1
healthy_0011,healthy,none,11.967049216824373,5.028569005720939,0.20955788089483032,28.963459563452705,29.383012794213624,11.949824295641546,11.391540211770208,5.026300088772775,1
healthy_0012,healthy,none,11.920535969434944,5.041061394649068,0.1819415509869608,31.937289981065778,29.595893812245293,11.967233785340223,11.260789184686786,4.882918804149431,1
healthy_0013,healthy,none,12.044418041559686,5.020884421774391,0.1801022691328492,29.530825733249706,28.169258515899173,11.957935467723464,11.265728548347324,4.9358178184622705,1
healthy_0014,healthy,none,11.9758071432501,5.032324068545163,0.2177237180242106,30.349155625663677,31.51510078144553,11.992555408423383,11.108122878470096,4.9978788899640625,1
healthy_0015,healthy,none,12.009034531491155,5.197059368998823,0.17615278070437754,30.603094684667226,30.930576460589513,11.883132196238046,11.414282281451502,5.0601546426149415,1
healthy_0016,healthy,none,12.118654792056457,4.927249003616421,0.20805588621872198,27.19629787441544,32.17371418760054,12.219045562580998,11.200946367486932,4.954696181631778,1
healthy_0017,healthy,none,12.014947704763147,4.959721947670704,0.14898673137867735,30.137125949612056,28.87539257254779,12.047359243063518,11.208057576576621,5.123994752401403,1
healthy_0018,healthy,none,11.882512006149565,4.974235078703546,0.19627034434739338,27.53827136713209,31.454919869208258,12.130714275428243,11.139251676543878,5.014770708682584,1
healthy_0019,healthy,none,12.038982419137264,5.062545829742185,0.15526098578243835,27.359086773831446,32.0438831312338,12.02969846732332,11.325049285034588,5.027715856759758,1
